angle,j,fl,fd
-60,899635804.4025924,156329.5161883806,-638879.6289071771
-50,885520480.4504033,171601.8485385103,-578481.1252486416
-40,864885215.7086403,167783.20232643627,-517583.6488027113
-30,852330541.5614249,142050.1115293191,-460197.21775902377
-20,848782515.6403364,101076.01520634213,-414558.009053472
-10,829918640.9264241,49990.18388317129,-386110.01025482186
0,835116637.2284192,-7887.349040264337,-377296.2343699144
10,826969998.1426276,-63633.194396566934,-391068.639488359
20,845501561.6310452,-113185.19154626451,-423742.501927115
30,854919841.7315127,-150280.65966287954,-470263.8313718453
40,872870673.63816,-171027.5027694872,-529298.0168266792
50,890913330.2611488,-170681.31208086893,-591382.0714045748
60,904718592.352347,-150429.77640220712,-649226.7016048301
