,t,j,fl,fd
0,0.1,6636511.587853219,9706902.929028,12677842.570511661
1,0.2,24044279.905429654,15953511.777694184,20748565.27664628
2,0.30000000000000004,51691111.01526879,21643823.370357677,28048717.08636295
3,0.4,88859327.37663426,27257288.597453207,35260788.758619845
4,0.5,136255279.1951003,32861557.068482984,42463080.918090224
5,0.6,194102560.76857805,38466535.01325567,49665775.42653242
6,0.7,262507728.53961265,44073562.18399616,56870186.50621551
7,0.7999999999999999,341537342.2025642,49682556.54868509,64076265.675168775
8,0.8999999999999999,431237440.1548471,55293213.45871518,71283757.0958936
9,0.9999999999999999,531641185.17949176,60905235.159469835,78492408.26385586
10,1.0999999999999999,620127006.6034801,61920382.30361356,79696738.9967143
11,1.2,638820903.1532748,62155501.93681442,79923441.86691076
12,1.3,646547264.1599215,62243885.05485315,80000885.18206897
13,1.4000000000000001,651269256.3373479,62291664.74930085,80041681.28857605
14,1.5000000000000002,654625704.8751067,62322623.68663938,80067984.95968652
15,1.6000000000000003,657163378.731127,62344558.45902049,80086610.86009876
16,1.7000000000000004,659140071.8341122,62360914.19008556,80100503.22300105
17,1.8000000000000005,660706208.2704253,62373523.21528841,80111217.94662395
18,1.9000000000000006,661961331.1169922,62383477.73725388,80119681.17281301
19,2.0000000000000004,662976191.9038588,62391479.79252713,80126488.2358383
20,2.1000000000000005,663803124.63113,62398005.36745821,80132042.92179081
21,2.2000000000000006,664481733.5669051,62403390.21409086,80136630.13071819
22,2.3000000000000007,665042411.7555374,62407878.47866126,80140457.0436402
23,2.400000000000001,665508706.5830632,62411652.01958204,80143677.9591084
24,2.500000000000001,665898995.473649,62414848.971964955,80146410.03647332
25,2.600000000000001,666227710.597465,62417575.97657408,80148743.67789572
26,2.700000000000001,666506250.8842452,62419916.49953459,80150749.59850818
27,2.800000000000001,666743669.1853194,62421936.645884834,80152483.77046902
28,2.9000000000000012,666947194.1528519,62423689.31422931,80153990.9577555
29,3.0000000000000013,667122628.969108,62425217.223232806,80155307.29136682
30,3.1000000000000014,667274657.5069261,62426555.15302732,80156462.17605494
31,3.2000000000000015,667407080.4745055,62427731.62926063,80157479.72216554
32,3.3000000000000016,667522998.3418987,62428770.204546124,80158379.83432394
33,3.4000000000000017,667624953.6476606,62429690.4446135,80159179.04843198
34,3.5000000000000018,667715042.1797345,62430508.69490865,80159891.18161197
35,3.600000000000002,667795000.2166516,62431238.6819729,80160527.84146266
36,3.700000000000002,667866273.2856324,62431891.98912031,80161098.8283918
37,3.800000000000002,667930070.5979592,62432478.435533956,80161612.45587365
38,3.900000000000002,667987408.340904,62433006.380470395,80162075.80717485
39,4.000000000000002,668039144.2666569,62433482.968963064,80162494.94246598
40,4.100000000000001,668086005.4570823,62433914.33139587,80162875.06693423
41,4.200000000000001,668128610.7143337,62434305.74655671,80163220.66800158
42,4.300000000000001,668167488.7028204,62434661.775496736,80163535.6279186
43,4.4,668203092.71735,62434986.37196876,80163823.31661467
44,4.5,668235812.7602283,62435282.97396125,80164086.66863556
45,4.6,668265985.4636679,62435554.57986948,80164328.24715887
46,4.699999999999999,668293902.278357,62435803.812170185,80164550.29749702
47,4.799999999999999,668319816.2607242,62436032.97081349,80164754.79199336
48,4.899999999999999,668343947.7237262,62436244.07819882,80164943.46782309
49,4.999999999999998,668366488.9599404,62436438.91715371,80165117.85895818
50,5.099999999999998,668387608.2065625,62436619.06315224,80165279.32327527
51,5.1999999999999975,668407452.9861661,62436785.91169804,80165429.06561819
52,5.299999999999997,668426152.9316598,62436940.70168572,80165568.15749037
53,5.399999999999997,668443822.1847857,62437084.53538171,80165697.55392055
54,5.4999999999999964,668460561.4384613,62437218.39558438,80165818.10793447
55,5.599999999999996,668476459.6819357,62437343.16036354,80165930.58302985
56,5.699999999999996,668491595.6964853,62437459.61578325,80166035.66393273
57,5.799999999999995,668506039.3411313,62437568.4669053,80166133.96591754
58,5.899999999999995,668519852.6607783,62437670.347325176,80166226.04289098
59,5.999999999999995,668533090.844035,62437765.82744789,80166312.39442715
60,6.099999999999994,668545803.0529429,62437855.42170516,80166393.47189203
61,6.199999999999994,668558033.1433386,62437939.59484748,80166469.68379948
62,6.299999999999994,668569820.2919536,62438018.767447785,80166541.400506
63,6.399999999999993,668581199.5431072,62438093.32072865,80166608.95831676
64,6.499999999999993,668592202.2865318,62438163.60078933,80166672.66310681
65,6.5999999999999925,668602856.6754459,62438229.92233424,80166732.79350674
66,6.699999999999992,668613187.9935343,62438292.57196016,80166789.603712
67,6.799999999999992,668623218.9768617,62438351.811047666,80166843.32596849
68,6.8999999999999915,668632970.0972164,62438407.8783296,80166894.17277314
69,6.999999999999991,668642459.8118423,62438460.99216731,80166942.33882701
70,7.099999999999991,668651704.7834858,62438511.35255397,80166988.00277187
71,7.19999999999999,668660720.0753227,62438559.14292338,80167031.32873014
72,7.29999999999999,668669519.3224745,62438604.53173327,80167072.46768801
73,7.39999999999999,668678114.8849472,62438647.67389291,80167111.55871809
74,7.499999999999989,668686517.982207,62438688.71203603,80167148.73008701
75,7.599999999999989,668694738.8135049,62438727.77765435,80167184.10023037
76,7.699999999999989,668702786.6640614,62438764.99211655,80167217.77864447
77,7.799999999999988,668710669.9999907,62438800.46758433,80167249.86667454
78,7.899999999999988,668718396.5523516,62438834.30782613,80167280.45822993
79,7.999999999999988,668725973.3926655,62438866.60896134,80167309.64042503
80,8.099999999999987,668733406.9994099,62438897.460121036,80167337.49415967
81,8.199999999999987,668740703.3181074,62438926.94405005,80167364.09464324
82,8.299999999999986,668747867.8146011,62438955.137642816,80167389.51186536
83,8.399999999999986,668754905.5225751,62438982.11243428,80167413.81102584
84,8.499999999999986,668761821.0865306,62439007.93504374,80167437.05292164
85,8.599999999999985,668768618.7998427,62439032.667577006,80167459.29429993
86,8.699999999999985,668775302.638774,62439056.36798414,80167480.58817774
87,8.799999999999985,668781876.2933284,62439079.090396695,80167500.9841308
88,8.899999999999984,668788343.1947117,62439100.88541747,80167520.5285646
89,8.999999999999984,668794706.5397719,62439121.80041046,80167539.26494856
90,9.099999999999984,668800969.3134222,62439141.87973317,80167557.23403935
91,9.199999999999983,668807134.308391,62439161.1649728,80167574.47408518
92,9.299999999999983,668813204.1429971,62439179.695152,80167591.02100402
93,9.399999999999983,668819181.2772163,62439197.50691354,80167606.90856032
94,9.499999999999982,668825068.027407,62439214.63470715,80167622.1685121
95,9.599999999999982,668830866.578941,62439231.110930525,80167636.83075494
96,9.699999999999982,668836578.9980375,62439246.96608676,80167650.92345428
97,9.799999999999981,668842207.2425168,62439262.228917055,80167664.4731645
98,9.89999999999998,668847753.1709672,62439276.92651647,80167677.50493486
99,9.99999999999998,668853218.551424,62439291.0844563,80167690.04241723
100,10.09999999999998,668858605.0693307,62439304.72688299,80167702.10795642
101,10.19999999999998,668863914.3342124,62439317.876609094,80167713.72267428
102,10.29999999999998,668869147.885898,62439330.55521339,80167724.90655269
103,10.399999999999979,668874307.2006239,62439342.78311064,80167735.6785087
104,10.499999999999979,668879393.6957324,62439354.579634584,80167746.05645417
105,10.599999999999978,668884408.7346511,62439365.963098705,80167756.05736974
106,10.699999999999978,668889353.6307331,62439376.9508749,80167765.69735695
107,10.799999999999978,668894229.6513895,62439387.55943749,80167774.99169028
108,10.899999999999977,668899038.0211585,62439397.80442644,80167783.95487568
109,10.999999999999977,668903779.9250975,62439407.70069975,80167792.6006887
