,t,j,fl,fd
0,0.1,44564727.94568296,17790835.64977093,39871229.405151084
1,0.2,181319252.1369797,34016465.28463833,76041140.45179999
2,0.30000000000000004,459757026.3272233,50018346.527943596,111583790.82784626
3,0.4,880477896.3700113,66025286.00856982,147118521.39735866
4,0.5,1446831102.5887835,82054166.33118835,182689906.09026545
5,0.6,2160727625.383323,98099786.5918636,218290090.26544568
6,0.7,3023479072.491599,114157261.44079721,253910725.20783103
7,0.7999999999999999,4036075458.5154285,130223332.73740448,289546195.44895166
8,0.8999999999999999,5199289340.633466,146295843.93712607,325192783.31126785
9,0.9999999999999999,6513733561.574794,162373317.6677724,360847943.83202535
10,1.0999999999999999,7588577060.594957,165225631.73429248,366862055.97537595
11,1.2,7837462424.798814,165852869.8759603,368031822.2155098
12,1.3,7939964283.528637,166077727.53299084,368428960.85457665
13,1.4000000000000001,8001433015.710709,166197105.98737633,368636409.8153786
14,1.5000000000000002,8045095339.920784,166274346.97122,368770095.46299607
15,1.6000000000000003,8078602149.466136,166329371.78229487,368865261.15551776
16,1.7000000000000004,8105371649.039466,166370768.41334134,368936888.9331995
17,1.8000000000000005,8127282101.651898,166403036.2260188,368992779.91201437
18,1.9000000000000006,8145514493.997708,166428828.6559157,369037519.6772386
19,2.0000000000000004,8160877005.407617,166449837.99399734,369074026.719494
20,2.1000000000000005,8173952777.604089,166467205.83371213,369104266.7896864
21,2.2000000000000006,8185177355.441583,166481735.620969,369129621.63267404
22,2.3000000000000007,8194884021.228001,166494011.8769375,369151095.40742123
23,2.400000000000001,8203332553.666887,166504471.30762458,369169437.6489867
24,2.500000000000001,8210728507.350984,166513447.35052803,369185220.22745466
25,2.600000000000001,8217236633.538099,166521199.22869727,369198887.50056034
26,2.700000000000001,8222990475.140787,166527931.5510433,369210790.1166172
27,2.800000000000001,8228099366.554919,166533807.91978982,369221208.4564561
28,2.9000000000000012,8232653625.17379,166538960.6132913,369230369.29246426
29,3.0000000000000013,8236728457.365374,166543497.6247983,369238457.88023233
30,3.1000000000000014,8240386935.777147,166547507.87516698,369245626.8987924
31,3.2000000000000015,8243682296.390271,166551065.13677928,369252003.1688827
32,3.3000000000000016,8246659730.9856,166554231.0297703,369257692.7744179
33,3.4000000000000017,8249357800.8474045,166557057.33908918,369262785.016911
34,3.5000000000000018,8251809562.872592,166559587.8265929,369267355.50373775
35,3.600000000000002,8254043474.953017,166561859.66240305,369271468.58490497
36,3.700000000000002,8256084130.107845,166563904.56584683,369275179.2934937
37,3.800000000000002,8257952856.421348,166565749.7221775,369278534.9040825
38,3.900000000000002,8259668210.84562,166567418.52467704,369281576.1937955
39,4.000000000000002,8261246388.266752,166568931.17934623,369284338.46999073
40,4.100000000000001,8262701562.375323,166570305.2007708,369286852.4131753
41,4.200000000000001,8264046171.215408,166571555.82096153,369289144.772502
42,4.300000000000001,8265291157.5646925,166572696.32828173,369291238.94266456
43,4.4,8266446172.15184,166573738.34975377,369293155.44513106
44,4.5,8267519746.150945,166574692.08728442,369294912.3312004
45,4.6,8268519438.120872,166575566.51623484,369296525.5213406
46,4.699999999999999,8269451959.602201,166576369.55289754,369298009.09188944
47,4.799999999999999,8270323282.783802,166577108.19637918,369299375.5183543
48,4.899999999999999,8271138733.064745,166577788.64920712,369300635.88259614
49,4.999999999999998,8271903068.845348,166578416.42017668,369301800.0498628
50,5.099999999999998,8272620550.457347,166578996.41234672,369302876.82060784
51,5.1999999999999975,8273294999.871053,166579532.99856535,369303874.06101084
52,5.299999999999997,8273929852.504129,166580030.08649498,369304798.8156356
53,5.399999999999997,8274528202.287634,166580491.17470658,369305657.4047939
54,5.4999999999999964,8275092840.918522,166580919.40124166,369306455.5090778
55,5.599999999999996,8275626292.143083,166581317.5857457,369307198.2427851
56,5.699999999999996,8276130841.720301,166581688.2660995,369307890.21799374
57,5.799999999999995,8276608563.684927,166582033.73036352,369308535.60048664
58,5.899999999999995,8277061343.383176,166582356.04468817,369309138.1587352
59,5.999999999999995,8277490897.725376,166582657.0777257,369309701.3068929
60,6.099999999999994,8277898793.00417,166582938.5220823,369310228.14258367
61,6.199999999999994,8278286460.616707,166583201.91315204,369310721.4801971
62,6.299999999999994,8278655210.938367,166583448.64570132,369311183.8802962
63,6.399999999999993,8279006245.5959215,166583679.98853943,369311617.67559284
64,6.499999999999993,8279340668.331137,166583897.09742934,369312024.9939395
65,6.5999999999999925,8279659494.647013,166584101.0265741,369312407.7788343
66,6.699999999999992,8279963660.361676,166584292.73876503,369312767.80747694
67,6.799999999999992,8280254029.22861,166584473.11441538,369313106.70700353
68,6.8999999999999915,8280531399.718468,166584642.9596023,369313425.96887213
69,6.999999999999991,8280796511.068679,166584803.01323497,369313726.9617194
70,7.099999999999991,8281050048.690962,166584953.95341593,369314010.94287527
71,7.19999999999999,8281292649.00488,166585096.40317768,369314279.0686596
72,7.29999999999999,8281524903.768912,166585230.93559843,369314532.4036394
73,7.39999999999999,8281747363.971795,166585358.0783552,369314771.92888266
74,7.499999999999989,8281960543.312293,166585478.3178715,369314998.54944134
75,7.599999999999989,8282164921.349964,166585592.10297352,369315213.101076
76,7.699999999999989,8282360946.329286,166585699.84825492,369315416.3562727
77,7.799999999999988,8282549037.73181,166585801.9370434,369315609.0297318
78,7.899999999999988,8282729588.580451,166585898.724105,369315791.7832807
79,7.999999999999988,8282902967.530379,166585990.53809768,369315965.2303549
80,8.099999999999987,8283069520.752086,166586077.68377152,369316129.9400246
81,8.199999999999987,8283229573.652887,166586160.4439586,369316286.44065005
82,8.299999999999986,8283383432.423784,166586239.08137706,369316435.2232403
83,8.399999999999986,8283531385.468357,166586313.84029865,369316576.74442214
84,8.499999999999986,8283673704.682417,166586384.9480143,369316711.4292339
85,8.599999999999985,8283810646.637344,166586452.61619976,369316839.67359585
86,8.699999999999985,8283942453.657826,166586517.04215035,369316961.84660983
87,8.799999999999985,8284069354.795768,166586578.40989313,369317078.2926136
88,8.899999999999984,8284191566.741578,166586636.8912363,369317189.3331018
89,8.999999999999984,8284309294.647489,166586692.64666954,369317295.26846415
90,9.099999999999984,8284422732.879182,166586745.82624793,369317396.37953067
91,9.199999999999983,8284532065.726532,166586796.57036933,369317492.92908955
92,9.299999999999983,8284637468.035663,166586845.01047987,369317585.1631368
93,9.399999999999983,8284739105.807168,166586891.26973504,369317673.312199
94,9.499999999999982,8284837136.7395525,166586935.4635959,369317757.59235454
95,9.599999999999982,8284931710.739977,166586977.70040944,369317838.2063253
96,9.699999999999982,8285022970.383817,166587018.08186084,369317915.34442246
97,9.799999999999981,8285111051.3588085,166587056.7034953,369317989.18537897
98,9.89999999999998,8285196082.854418,166587093.65512076,369318059.8971985
99,9.99999999999998,8285278187.947752,166587129.02121103,369318127.6378616
100,10.09999999999998,8285357483.943065,166587162.88125592,369318192.5560224
101,10.19999999999998,8285434082.696029,166587195.3101148,369318254.7916533
102,10.29999999999998,8285508090.9192,166587226.37833598,369318314.47660017
103,10.399999999999979,8285579610.455756,166587256.1524081,369318371.73514205
104,10.499999999999979,8285648738.550876,166587284.6950591,369318426.6844714
105,10.599999999999978,8285715568.085266,166587312.06549203,369318479.43517786
106,10.699999999999978,8285780187.81727,166587338.31960765,369318530.0916576
107,10.799999999999978,8285842682.587886,166587363.51021478,369318578.7525137
108,10.899999999999977,8285903133.528522,166587387.68723634,369318625.51094705
109,10.999999999999977,8285961618.245736,166587410.89788625,369318670.4550463
110,11.099999999999977,8286018211.0024,166587433.18683517,369318713.6681621
111,11.199999999999976,8286072982.883077,166587454.59636235,369318755.2291651
112,11.299999999999976,8286126001.946614,166587475.16651982,369318795.21273845
113,11.399999999999975,8286177333.381753,166587494.9352507,369318833.68961453
114,11.499999999999975,8286227039.641559,166587513.93851942,369318870.7268494
115,11.599999999999975,8286275180.57588,166587532.21043685,369318906.38799334
116,11.699999999999974,8286321813.556595,166587549.78335685,369318940.73334324
117,11.799999999999974,8286366993.588173,166587566.6880019,369318973.82010466
118,11.899999999999974,8286410773.428835,166587582.95353523,369319005.7026021
119,11.999999999999973,8286453203.685822,166587598.60764903,369319036.4324138
120,12.099999999999973,8286494332.918277,166587613.67668092,369319066.0585458
121,12.199999999999973,8286534207.733031,166587628.18564624,369319094.627582
122,12.299999999999972,8286572872.866536,166587642.15835413,369319122.18383276
123,12.399999999999972,8286610371.276231,166587655.61744165,369319148.7694189
124,12.499999999999972,8286646744.21476,166587668.58446127,369319174.42443734
