,t,j,fl,fd
0,0.1,8943068.257758148,-9745496.91080572,16444881.945247192
1,0.2,29982492.288302775,-15992471.024933908,26886322.22772564
2,0.30000000000000004,63458048.49664081,-21682091.89979676,36348009.195632026
3,0.4,108385114.49732603,-27294542.737414595,45693933.518729955
4,0.5,165567237.03935355,-32897535.66930557,55026597.91165119
5,0.6,235280136.26000196,-38500906.51701236,64359569.3103431
6,0.7,317657844.4326137,-44106016.98722275,73694643.06850293
7,0.7999999999999999,412784027.95675194,-49712837.199527934,83031792.87990074
8,0.8999999999999999,520716935.4129977,-55321115.339168645,92370711.05188541
9,0.9999999999999999,641499264.7796488,-60930599.28483221,101711089.31874703
10,1.0999999999999999,742951350.7497371,-61924794.80068779,103262998.07107952
11,1.2,765745056.0040061,-62147373.03738688,103559786.52771299
12,1.3,775329599.3846177,-62228105.29305864,103660392.84980188
13,1.4000000000000001,781195144.8151512,-62270950.784075975,103712837.8756045
14,1.5000000000000002,785376358.802854,-62298519.31808776,103746434.98081228
15,1.6000000000000003,788555961.2026387,-62318026.105614506,103770154.80220297
16,1.7000000000000004,791053639.0805372,-62332602.210071556,103787842.40960667
17,1.8000000000000005,793054253.95219,-62343891.72401518,103801512.24164858
18,1.9000000000000006,794678880.9949806,-62352864.03559095,103812351.92631432
19,2.0000000000000004,796012640.6455076,-62360135.85959472,103821116.98642135
20,2.1000000000000005,797117859.6239902,-62366121.29655759,103828314.55273293
21,2.2000000000000006,798041321.0229653,-62371109.97630141,103834299.11637782
22,2.3000000000000007,798818733.2357352,-62375311.13072686,103839326.58598132
23,2.400000000000001,799477698.2632792,-62378879.976128764,103843586.66336413
24,2.500000000000001,800039777.8934139,-62381934.25125483,103847223.13875487
25,2.600000000000001,800521974.6585547,-62384564.97584225,103850347.08865288
26,2.700000000000001,800937813.7918422,-62386843.66876126,103853045.7256212
27,2.800000000000001,801298144.3746399,-62388827.32096784,103855388.49168226
28,2.9000000000000012,801611738.7278856,-62390561.9024629,103857431.35304077
29,3.0000000000000013,801885744.7639263,-62392084.88752504,103859219.89125396
30,3.1000000000000014,802126030.0324438,-62393427.10759114,103860791.5706923
31,3.2000000000000015,802337445.3057425,-62394614.134199545,103862177.43062522
32,3.3000000000000016,802524027.9424431,-62395667.32727653,103863403.36776437
33,3.4000000000000017,802689159.8718181,-62396604.641001664,103864491.12219594
34,3.5000000000000018,802835691.1620424,-62397441.25119045,103865459.04498743
