,t,j,fl,fd
0,0.1,27990310.741430365,-20000088.454787683,26589990.597941324
1,0.2,121981865.0006655,-38240905.752484106,50628621.90730396
2,0.30000000000000004,320065718.7264933,-56245724.678302884,74213850.28759469
3,0.4,622020214.787874,-74258797.42662022,97788437.24675573
4,0.5,1030363097.8657606,-92296924.20609647,121383208.67675677
5,0.6,1546442756.8431287,-110353702.96748035,144993995.94352296
6,0.7,2171155647.8591714,-128423451.76104793,168616063.19278854
7,0.7999999999999999,2905156787.333512,-146502447.3064525,192246231.60896772
8,0.8999999999999999,3748935790.5862317,-164588257.83283865,215882409.81395715
9,0.9999999999999999,4702860315.903617,-182679237.4418337,239523175.8775258
10,1.0999999999999999,5543964597.428758,-185902379.13449138,243395497.12809753
11,1.2,5714981301.09388,-186623556.19229138,244098058.65349853
12,1.3,5782831430.70778,-186880437.27571484,244326600.3782055
13,1.4000000000000001,5823178548.877495,-187013553.84720713,244442815.79128602
14,1.5000000000000002,5851415396.636872,-187097481.83201662,244516306.4032339
15,1.6000000000000003,5872586508.182775,-187155908.44939148,244567845.81272584
16,1.7000000000000004,5889008573.611668,-187198975.7021648,244606143.0167169
17,1.8000000000000005,5901998305.749384,-187231925.64100045,244635681.5226702
18,1.9000000000000006,5912409054.029166,-187257806.65168166,244659072.91952255
19,2.0000000000000004,5920838357.267002,-187278538.48396984,244677966.95243192
20,2.1000000000000005,5927723611.210205,-187295401.67150623,244693467.49422628
21,2.2000000000000006,5933393369.041241,-187309288.18157342,244706345.63527304
22,2.3000000000000007,5938098405.0297785,-187320840.58360767,244717158.29183558
23,2.400000000000001,5942032223.54673,-187330534.35095102,244726318.55792496
24,2.500000000000001,5945345378.070735,-187338729.0600953,244734139.5880888
25,2.600000000000001,5948155818.531666,-187345701.58707246,244740863.11077404
26,2.700000000000001,5950556528.854827,-187351668.38316736,244746678.59229067
27,2.800000000000001,5952621241.729489,-187356800.86037782,244751736.4889884
28,2.9000000000000012,5954408755.317081,-187361236.28231484,244756157.63700822
29,3.0000000000000013,5955966217.479521,-187365085.63818666,244760040.0466206
30,3.1000000000000014,5957331639.501592,-187368439.4410095,244763463.90954694
31,3.2000000000000015,5958535830.42196,-187371372.06636155,244766495.34915027
32,3.3000000000000016,5959603893.010755,-187373945.0451713,244769189.2693205
33,3.4000000000000017,5960556386.372557,-187376209.59424376,244771591.546169
34,3.5000000000000018,5961410233.777469,-187378208.58266002,244773740.73321024
35,3.600000000000002,5962179434.908547,-187379978.07515836,244775669.40143624
36,3.700000000000002,5962875627.278857,-187381548.55429614,244777405.20201707
37,3.800000000000002,5963508530.821827,-187382945.89616764,244778971.71601713
38,3.900000000000002,5964086301.592593,-187384192.15498668,244780389.13874874
