,t,j,fl,fd
0,0.1,10691674.531864418,-8512550.51962311,19656992.438881487
1,0.2,34331901.07995491,-13979705.005553922,32174208.400192898
2,0.30000000000000004,72039226.98388496,-18956305.73205183,43522914.25622395
3,0.4,122557470.37865084,-23863940.771501727,54727690.31084441
4,0.5,186703210.78215295,-28762704.827170424,65914851.427240394
5,0.6,264769180.84628433,-33661522.02406013,77101834.11368991
6,0.7,356900441.9188718,-38561721.05813044,88291169.63467
7,0.7999999999999999,463189205.41154635,-43463347.188141316,99482973.1770232
8,0.8999999999999999,583701005.1465125,-48366221.250175446,110676941.61793604
9,0.9999999999999999,718484914.0956612,-53270147.273169935,121872736.62522292
10,1.0999999999999999,827900292.4969001,-54142695.48425262,123758858.79923126
11,1.2,853282086.332523,-54336295.58318464,124127626.2744906
12,1.3,863654248.6791061,-54405158.24771987,124251701.46105176
13,1.4000000000000001,869814603.0879855,-54441240.879316404,124315521.53783979
14,1.5000000000000002,874168676.7699674,-54464447.56728353,124356275.0686354
15,1.6000000000000003,877501413.4854621,-54481004.158973925,124385235.97747117
16,1.7000000000000004,880155464.9997692,-54493538.79265806,124407105.40299131
17,1.8000000000000005,882315962.022273,-54503396.903723925,124424274.5811288
18,1.9000000000000006,884099276.7755297,-54511357.52182294,124438121.32461306
19,2.0000000000000004,885586139.5666392,-54517911.51991749,124449510.2120751
20,2.1000000000000005,886835991.8938481,-54523387.887959324,124459018.70844963
21,2.2000000000000006,887894160.6762571,-54528017.68181224,124467051.28975725
22,2.3000000000000007,888795947.9333788,-54531969.1985774,124473901.99261002
23,2.400000000000001,889569225.8775518,-54535368.62863963,124479790.99892038
24,2.500000000000001,890236215.1824683,-54538312.83887898,124484887.19465232
25,2.600000000000001,890814766.4113467,-54540877.63755809,124489322.70215851
26,2.700000000000001,891319313.0469737,-54543123.31613956,124493202.59289896
27,2.800000000000001,891761594.5318941,-54545098.48161667,124496611.58578393
28,2.9000000000000012,892151212.0440439,-54546842.777667254,124499618.79316854
29,3.0000000000000013,892496059.6655841,-54548388.861533076,124502281.16338125
30,3.1000000000000014,892802661.2617463,-54549763.86914699,124504646.02953215
31,3.2000000000000015,893076435.2483424,-54550990.520191014,124506753.03091863
32,3.3000000000000016,893321903.7809626,-54552087.96456122,124508635.5846071
33,3.4000000000000017,893542858.8404257,-54553072.43969767,124510322.02841492
34,3.5000000000000018,893742494.7201574,-54553957.78728171,124511836.51970538
35,3.600000000000002,893923514.1962107,-54554755.86382323,124513199.75002518
36,3.700000000000002,894088213.9931095,-54555476.87009281,124514429.51883902
37,3.800000000000002,894238553.8930874,-54556129.61774898,124515541.19823408
38,3.900000000000002,894376212.8657864,-54556721.7468165,124516548.11221582
39,4.000000000000002,894502634.857492,-54557259.90432798,124517461.84849948
40,4.100000000000001,894619066.3062592,-54557749.89199652,124518292.51641099
41,4.200000000000001,894726587.0094389,-54558196.788995065,124519048.96146107
42,4.300000000000001,894826135.6282678,-54558605.054574735,124519738.94477242
43,4.4,894918530.8458225,-54558978.61424508,124520369.29384916
44,4.5,895004488.9906924,-54559320.93246787,124520946.02980977
45,4.6,895084638.7718863,-54559635.07423295,124521474.47520213
46,4.699999999999999,895159533.6452798,-54559923.757397965,124521959.34567161
47,4.799999999999999,895229662.22881,-54560189.39735095,124522404.82821278
48,4.899999999999999,895295457.1055663,-54560434.14523706,124522814.64815183
49,4.999999999999998,895357302.2878897,-54560659.920776725,124523192.12666398
50,5.099999999999998,895415539.5674804,-54560868.440530546,124523540.23030727
51,5.1999999999999975,895470473.9330456,-54561061.24230392,124523861.61380419
52,5.299999999999997,895522378.2077475,-54561239.706272095,124524158.6570656
53,5.399999999999997,895571497.0276322,-54561405.073318854,124524433.49732248
54,5.4999999999999964,895618050.2664363,-54561558.46098848,124524688.05708504
55,5.599999999999996,895662235.9895058,-54561700.8773951,124524924.068501
56,5.699999999999996,895704233.0096151,-54561833.23337941,124525143.09465276
57,5.799999999999995,895744203.1023043,-54561956.35315445,124525346.54819025
58,5.899999999999995,895782292.9321672,-54562070.98364867,124525535.70768006
59,5.999999999999995,895818635.7301751,-54562177.80271954,124525711.73197928
60,6.099999999999994,895853352.7587273,-54562277.42639328,124525875.67288367
61,6.199999999999994,895886554.5937088,-54562370.415251866,124526028.4862946
62,6.299999999999994,895918342.2484208,-54562457.28008425,124526171.04208118
63,6.399999999999993,895948808.1618376,-54562538.486887634,124526304.1328119
