,t,j,fl,fd
0,0.1,19799378.936882127,-17776635.812065195,19990273.631044626
1,0.2,92423533.02570188,-33934695.05496873,37979806.7320157
2,0.30000000000000004,250649568.93549603,-49869882.36133232,55587944.865972795
3,0.4,493428205.0226846,-65806004.636058785,73178879.92663363
4,0.5,822814542.5513471,-81760311.40053998,90779043.86832567
5,0.6,1239899460.7147062,-97728584.30825958,108387171.53347583
6,0.7,1745409619.9601371,-113706721.71797842,126000964.43750826
7,0.7999999999999999,2339872763.576969,-129692026.87754488,143618867.7383139
8,0.8999999999999999,3023677808.8093576,-145682739.26334515,161239869.34939885
9,0.9999999999999999,3797111389.0704207,-161677661.217008,178863284.4694969
10,1.0999999999999999,4527849946.102304,-164457436.070599,181624087.3335117
11,1.2,4657995456.20137,-165054107.89596617,182062735.48946822
12,1.3,4707756366.833289,-165258296.61038473,182190468.6672671
13,1.4000000000000001,4738091279.873999,-165362459.15852866,182252029.76085994
14,1.5000000000000002,4759784546.38714,-165428555.85364798,182290402.20391342
15,1.6000000000000003,4776202694.986818,-165475447.45032743,182317454.41241908
16,1.7000000000000004,4788950226.730624,-165510885.9989265,182337861.61137652
17,1.8000000000000005,4798994232.260056,-165538753.36861083,182353914.6247736
18,1.9000000000000006,4806991391.142947,-165561261.12882933,182366899.66400895
19,2.0000000000000004,4813414915.122531,-165579788.74015272,182377610.37282526
20,2.1000000000000005,4818616295.309957,-165595256.55220133,182386572.2106116
21,2.2000000000000006,4822860974.80179,-165608311.0700615,182394152.5297521
22,2.3000000000000007,4826351484.945441,-165619424.97157767,182400619.306403
23,2.400000000000001,4829243514.423148,-165628954.83352736,182406174.65042263
24,2.500000000000001,4831657497.463973,-165637176.35630903,182410975.03262556
25,2.600000000000001,4833687142.241258,-165644306.9047445,182415144.10396498
26,2.700000000000001,4835405779.893104,-165650520.53834856,182418781.17542902
27,2.800000000000001,4836871125.340983,-165655958.39863378,182421967.04340726
28,2.9000000000000012,4838128866.108719,-165660736.11370432,182424768.12615898
29,3.0000000000000013,4839215379.857068,-165664949.21931446,182427239.4864482
30,3.1000000000000014,4840159800.961643,-165668677.21894553,182429427.0950953
31,3.2000000000000015,4840985598.822083,-165671986.68371204,182431369.56142724
32,3.3000000000000016,4841711788.597837,-165674933.65771416,182433099.4793216
33,3.4000000000000017,4842353864.249015,-165677565.54995787,182434644.4893321
34,3.5000000000000018,4842924520.978668,-165679922.6395068,182436028.12684286
35,3.600000000000002,4843434217.358208,-165682039.28447407,182437270.506144
36,3.700000000000002,4843891614.890005,-165683944.90109518,182438388.87667337
37,3.800000000000002,4844303923.482678,-165685664.76213315,182439398.07856494
38,3.900000000000002,4844677174.368948,-165687220.65193024,182440310.9179224
