,t,j,fl,fd
0,0.1,3183717.7856057235,-6469526.412757475,7059592.037390997
1,0.2,14513851.734825302,-10581455.302665202,11484044.18148782
2,0.30000000000000004,32480964.425334528,-14335018.954780433,15467724.41241202
3,0.4,56727099.01228053,-18040608.367570367,19410161.877122816
4,0.5,87839756.65494666,-21740543.84416886,23348571.001313772
5,0.6,125968224.89993344,-25440850.116865713,27287004.02912359
6,0.7,171178204.96255457,-29142327.0799832,31225924.379513193
7,0.7999999999999999,223510460.8896049,-32844924.677281916,35165319.859727345
8,0.8999999999999999,282992835.3672616,-36548462.83183428,39105113.513236426
9,0.9999999999999999,349644780.20222855,-40252767.6705043,43045230.70865138
10,1.0999999999999999,416785048.9983159,-40893239.62010812,43641600.315172434
11,1.2,427936421.7691769,-41037999.43634224,43726387.65723202
12,1.3,432413064.3131269,-41091802.92043039,43750776.34117244
13,1.4000000000000001,435325717.94272566,-41120591.075858764,43762965.10023049
14,1.5000000000000002,437474983.5967533,-41138999.50192005,43770685.26281308
15,1.6000000000000003,439116697.0189188,-41151860.81813973,43776079.724510506
16,1.7000000000000004,440388111.9184915,-41161326.484155916,43780051.32276607
17,1.8000000000000005,441380763.9279175,-41168541.75145194,43783076.491506726
18,1.9000000000000006,442160811.73414594,-41174185.67105549,43785438.68121022
19,2.0000000000000004,442777594.8645594,-41178690.42331858,43787319.28036949
20,2.1000000000000005,443268398.192399,-41182345.23555918,43788840.28279731
21,2.2000000000000006,443661574.2516464,-41185351.12307258,43790086.80569413
22,2.3000000000000007,443978763.4793717,-41187852.02269029,43791119.96647348
23,2.400000000000001,444236532.0365623,-41189953.54887212,43791984.68837795
24,2.500000000000001,444447598.6678931,-41191734.80824473,43792714.64666463
25,2.600000000000001,444621759.29804105,-41193256.11104668,43793335.51467464
26,2.700000000000001,444766585.46230036,-41194564.15366596,43793867.15603335
27,2.800000000000001,444887952.4543026,-41195695.58853027,43794325.141145006
28,2.9000000000000012,444990439.0399863,-41196679.53604852,43794721.8181507
29,3.0000000000000013,445077630.28008884,-41197539.38549763,43795067.08300072
30,3.1000000000000014,445152347.2615239,-41198294.1078374,43795368.9421168
31,3.2000000000000015,445216821.6842885,-41198959.22720586,43795633.92942428
32,3.3000000000000016,445272828.82208806,-41199547.5496833,43795867.41947084
33,3.4000000000000017,445321789.0319538,-41200069.71680287,43796073.86531144
34,3.5000000000000018,445364845.46942765,-41200534.63075221,43796256.981184006
35,3.600000000000002,445402923.7719242,-41200949.78445533,43796419.88418957
36,3.700000000000002,445436778.0495246,-41201321.52027474,43796565.205183074
37,3.800000000000002,445467026.45472085,-41201655.23460132,43796695.176316306
38,3.900000000000002,445494178.80065274,-41201955.54098137,43796811.7006892
39,4.000000000000002,445518658.0945882,-41202226.40119015,43796916.40818747
40,4.100000000000001,445540817.4015727,-41202471.2313127,43797010.70055974
41,4.200000000000001,445560953.111668,-41202692.988159955,43797095.78803983
42,4.300000000000001,445579315.428714,-41202894.24012337,43797172.71930219
43,4.4,445596116.70256805,-41203077.22559793,43797242.40608639
44,4.5,445611538.08373547,-41203243.9014317,43797305.64357324
45,4.6,445625734.8648382,-41203395.98330103,43797363.12731741
46,4.699999999999999,445638840.7912915,-41203534.97953787,43797415.46740224
47,4.799999999999999,445650971.55893105,-41203662.219581075,43797463.20031597
48,4.899999999999999,445662227.6667505,-41203778.87802358,43797506.79896952
49,4.999999999999998,445672696.7565434,-41203885.99502083,43797546.681178704
50,5.099999999999998,445682455.5414726,-41203984.49366419,43797583.21687166
51,5.1999999999999975,445691571.40427405,-41204075.19483658,43797616.73424324
52,5.299999999999997,445700103.72801197,-41204158.82995502,43797647.52502081
53,5.399999999999997,445708105.0101107,-41204236.0519346,43797675.848990574
54,5.4999999999999964,445715621.7986955,-41204307.44465002,43797701.93789708
55,5.599999999999996,445722695.48363554,-41204373.531127386,43797725.99881535
56,5.699999999999996,445729362.967474,-41204434.78064936,43797748.21706811
57,5.799999999999995,445735657.2368402,-41204491.614946134,43797768.75876869
58,5.899999999999995,445741607.8509025,-41204544.41358645,43797787.773030356
59,5.999999999999995,445747241.36100864,-41204593.5186942,43797805.393897094
60,6.099999999999994,445752581.6711659,-41204639.23908279,43797821.74203204
61,6.199999999999994,445757650.3503569,-41204681.85388355,43797836.926199034
62,6.299999999999994,445762466.9024573,-41204721.61573399,43797851.044565074
63,6.399999999999993,445767049.00139964,-41204758.75359568,43797864.18584379
64,6.499999999999993,445771412.69554526,-41204793.4752315,43797876.430305876
65,6.5999999999999925,445775572.5865302,-41204825.969407395,43797887.85067088
66,6.699999999999992,445779541.9857866,-41204856.407836184,43797898.51289573
67,6.799999999999992,445783333.05201507,-41204884.9469038,43797908.47687273
68,6.8999999999999915,445786956.9118627,-41204911.729204275,43797917.797051534
69,6.999999999999991,445790423.76645976,-41204936.88490182,43797926.52298832
70,7.099999999999991,445793742.98539424,-41204960.53295245,43797934.69983514
71,7.19999999999999,445796923.1900493,-41204982.78218571,43797942.36877801
72,7.29999999999999,445799972.326999,-41205003.73227449,43797949.56742523
73,7.39999999999999,445802897.73372453,-41205023.474604465,43797956.33015453
74,7.499999999999989,445805706.1966464,-41205042.09305138,43797962.68842422
75,7.599999999999989,445808404.00280696,-41205059.66467655,43797968.671051875
76,7.699999999999989,445810996.98630005,-41205076.26035122,43797974.30446105
77,7.799999999999988,445813490.5693809,-41205091.94532392,43797979.612908036
78,7.899999999999988,445815889.7993209,-41205106.779721126,43797984.618679516
79,7.999999999999988,445818199.38152856,-41205120.81900643,43797989.342274465
80,8.099999999999987,445820423.7093294,-41205134.11438982,43797993.80256655
81,8.199999999999987,445822566.8902813,-41205146.71320032,43797998.016946815
82,8.299999999999986,445824632.7704238,-41205158.65921927,43798002.00146089
83,8.399999999999986,445826624.95572704,-41205169.99298395,43798005.77092342
84,8.499999999999986,445828546.8315426,-41205180.75206286,43798009.33902674
85,8.599999999999985,445830401.58012766,-41205190.971303396,43798012.71843676
86,8.699999999999985,445832192.196754,-41205200.68306019,43798015.92088376
87,8.799999999999985,445833921.5037106,-41205209.91739593,43798018.957237005
88,8.899999999999984,445835592.16373026,-41205218.70226811,43798021.83758265
89,8.999999999999984,445837206.6916717,-41205227.06370161,43798024.57128136
90,9.099999999999984,445838767.46515685,-41205235.02593924,43798027.16703525
91,9.199999999999983,445840276.7345901,-41205242.61158438,43798029.63293671
92,9.299999999999983,445841736.63197213,-41205249.841726586,43798031.97652113
93,9.399999999999983,445843149.1790041,-41205256.7360615,43798034.20480507
94,9.499999999999982,445844516.2947096,-41205263.31299513,43798036.324336186
