,t,j,fl,fd
0,0.1,27961590.374306396,19924695.48589961,26022940.01315564
1,0.2,121837034.50315762,38124459.40945201,49612885.040800735
2,0.30000000000000004,319742725.7802675,56095714.260620646,72765429.0243489
3,0.4,621643174.5955439,74081746.79490612,95912522.80871621
4,0.5,1030205093.4349079,92097122.09109046,119083027.63826202
5,0.6,1546919776.6630282,110134237.79566196,142271827.34930795
6,0.7,2172800438.295634,128186629.00089037,165473568.1673297
7,0.7999999999999999,2908593569.0367246,146250019.46839625,188684640.857283
8,0.8999999999999999,3754858525.895147,164321576.31129357,211902646.0647304
9,0.9999999999999999,4712015000.540779,182399357.6623988,235125937.26373258
10,1.0999999999999999,5559659486.7233925,185666241.6954855,239003037.78987944
11,1.2,5737712323.822561,186420595.77459574,239730759.70556536
12,1.3,5810678043.44522,186702791.59568846,239978094.2170761
13,1.4000000000000001,5855097570.535925,186854650.6626064,240107764.8087342
14,1.5000000000000002,5886629665.875273,186952690.76462695,240191061.03963116
15,1.6000000000000003,5910458662.405831,187021950.63832182,240249870.22437403
16,1.7000000000000004,5929014850.260823,187073469.18246144,240293626.6370016
17,1.8000000000000005,5943712275.354491,187113103.6789716,240327303.90790278
18,1.9000000000000006,5955485994.256031,187144337.43481278,240353855.72005072
19,2.0000000000000004,5965000806.017838,187169404.55230018,240375176.62142703
20,2.1000000000000005,5972748750.159798,187189816.71745497,240392549.022251
21,2.2000000000000006,5979102392.922481,187206638.26834068,240406876.09408543
22,2.3000000000000007,5984347763.252376,187220641.83327916,240418813.5216688
23,2.400000000000001,5988706512.234674,187232402.02212748,240428848.86940968
24,2.500000000000001,5992351631.655313,187242354.66328034,240437351.81424394
25,2.600000000000001,5995418958.787202,187250835.76718038,240444607.22375286
26,2.700000000000001,5998015754.615459,187258107.99666283,240450837.65085626
27,2.800000000000001,6000227173.6263,187264379.13834903,240456219.04298007
28,2.9000000000000012,6002121181.051694,187269815.28604785,240460891.9591586
29,3.0000000000000013,6003752311.651703,187274550.4324654,240464969.73215213
30,3.1000000000000014,6005164556.729541,187278693.56436703,240468544.50480866
31,3.2000000000000015,6006393591.21208,187282333.9874549,240471691.7580874
32,3.3000000000000016,6007468498.83142,187285545.37396067,240474473.75024378
33,3.4000000000000017,6008413114.049912,187288388.8742995,240476942.15828502
34,3.5000000000000018,6009247070.263086,187290915.53371483,240479140.12712908
35,3.600000000000002,6009986622.052029,187293168.1862222,240481103.87372908
36,3.700000000000002,6010645293.001894,187295182.95145926,240482863.95324668
37,3.800000000000002,6011234388.362649,187296990.42656675,240484446.2661347
38,3.900000000000002,6011763402.569739,187298616.641857,240485872.8646904
39,4.000000000000002,6012240344.684227,187300083.83207992,240487162.60330096
40,4.100000000000001,6012671999.475978,187301411.062468,240488331.66578892
41,4.200000000000001,6013064137.861557,187302614.73981422,240489393.9955508
42,4.300000000000001,6013421687.305519,187303709.03176063,240490361.6482589
43,4.4,6013748870.45275,187304706.2125366,240491245.08252898
44,4.5,6014049318.430277,187305616.949257,240492053.4005551
45,4.6,6014326163.878136,187306450.54010642,240492794.5482696
46,4.699999999999999,6014582117.672053,187307215.11323956,240493475.48249426
47,4.799999999999999,6014819532.486866,187307917.79354942,240494102.31109506
48,4.899999999999999,6015040455.675037,187308564.84300107,240494680.41098884
49,4.999999999999998,6015246673.445147,187309161.77910128,240495214.52778658
50,5.099999999999998,6015439747.926415,187309713.4753463,240495708.86031064
51,5.1999999999999975,6015621048.374672,187310224.2465262,240496167.13243985
52,5.299999999999997,6015791777.555316,187310697.92149714,240496592.6544279
53,5.399999999999997,6015952994.124964,187311137.9053597,240496988.37539053
54,5.4999999999999964,6016105631.67911,187311547.23286372,240497356.92831603
55,5.599999999999996,6016250515.025326,187311928.61421844,240497700.66884956
56,5.699999999999996,6016388374.121577,187312284.4746776,240498021.70873797
57,5.799999999999995,6016519856.049283,187312616.9887025,240498321.94475505
58,5.899999999999995,6016645535.334125,187312928.10956463,240498603.08382565
59,5.999999999999995,6016765922.857846,187313219.59506616,240498866.66483665
60,6.099999999999994,6016881473.575724,187313493.02991417,240499114.07764375
61,6.199999999999994,6016992593.220403,187313749.8452475,240499346.57970396
62,6.299999999999994,6017099644.127226,187313991.3356967,240499565.3105823
63,6.399999999999993,6017202950.317168,187314218.67432866,240499771.30471614
64,6.499999999999993,6017302801.934956,187314432.925779,240499965.50261
65,6.5999999999999925,6017399459.133038,187314635.057775,240500148.76070067
66,6.699999999999992,6017493155.476123,187314825.95129627,240500321.86005566
67,6.799999999999992,6017584100.932216,187315006.40956125,240500485.51406214
68,6.8999999999999915,6017672484.49961,187315177.16595387,240500640.37523577
69,6.999999999999991,6017758476.525103,187315338.89104187,240500787.04125145
70,7.099999999999991,6017842230.745184,187315492.19882628,240500926.06032014
71,7.19999999999999,6017923886.090517,187315637.65226278,240501057.93594447
72,7.29999999999999,6018003568.280731,187315775.7681994,240501183.13117793
73,7.39999999999999,6018081391.23656,187315907.02178618,240501302.07242188
74,7.499999999999989,6018157458.332288,187316031.8503743,240501415.15282297
75,7.599999999999989,6018231863.505613,187316150.65704608,240501522.7353065
76,7.699999999999989,6018304692.245531,187316263.8137347,240501625.1552959
77,7.799999999999988,6018376022.465803,187316371.6640709,240501722.72316408
78,7.899999999999988,6018445925.291916,187316474.5258846,240501815.72644314
79,7.999999999999988,6018514465.74989,187316572.69349432,240501904.43178412
80,8.099999999999987,6018581703.389307,187316666.4397469,240501989.08674854
81,8.199999999999987,6018647692.837077,187316756.01787326,240502069.92142934
