,t,j,fl,fd
0,0.1,13125143.396201821,3521033.4326515687,23798037.04391668
1,0.2,41446001.201428525,5779825.566999472,39002653.97410863
2,0.30000000000000004,86497826.8066195,7835292.748228552,52795972.844621874
3,0.4,146895513.90815347,9862583.312786188,66411307.08779061
4,0.5,223580962.694466,11886365.325593377,80005165.5818488
5,0.6,316916004.6726683,13910230.29668111,93599324.07706848
6,0.7,427082577.5941516,15934692.036160313,107196825.57756442
7,0.7999999999999999,554195292.8630999,17959754.0992998,120797694.97492154
8,0.8999999999999999,698334770.520702,19985334.635183163,134401463.5638543
9,0.9999999999999999,859560967.3560058,22011348.188852314,148007644.4804096
10,1.0999999999999999,986158279.5659364,22369865.862176068,150343082.0487491
11,1.2,1018094678.9168254,22448765.02494013,150817703.5578182
12,1.3,1031675574.7947645,22476902.919761576,150981978.87863228
13,1.4000000000000001,1039780825.9914713,22491750.579689506,151067658.2775322
14,1.5000000000000002,1045461226.4238228,22501333.46161466,151122517.7657756
15,1.6000000000000003,1049759278.8088304,22508164.83974944,151161336.3017836
16,1.7000000000000004,1053145651.8966959,22513316.196339704,151190407.7472408
17,1.8000000000000005,1055878865.9200124,22517343.109307848,151212996.6108396
18,1.9000000000000006,1058121136.4454811,22520571.09885856,151231012.42514834
19,2.0000000000000004,1059983403.7243782,22523207.148483004,151245664.79067808
20,2.1000000000000005,1061545756.8529292,22525390.807150166,151257764.99408823
21,2.2000000000000006,1062868028.722504,22527220.39751583,151267881.23487398
22,2.3000000000000007,1063995945.8574382,22528767.617713388,151276425.21729383
23,2.400000000000001,1064965021.8138885,22530086.21014021,151283703.52596503
24,2.500000000000001,1065803180.7789686,22531217.373821326,151289949.64290676
25,2.600000000000001,1066532603.3012781,22532193.285444245,151295344.7238286
26,2.700000000000001,1067171063.6703802,22533039.470094506,151300031.54672587
27,2.800000000000001,1067732919.1875709,22533776.444934215,151304124.15293476
28,2.9000000000000012,1068229853.0758696,22534420.88805458,151307714.6803023
29,3.0000000000000013,1068671438.9213737,22534986.48823734,151310878.31326255
30,3.1000000000000014,1069065573.6236061,22535484.57487753,151313676.93783504
31,3.2000000000000015,1069418812.2194676,22535924.593044825,151316161.88604376
32,3.3000000000000016,1069736628.7328221,22536314.467234213,151318376.0273301
33,3.4000000000000017,1070023620.7820605,22536660.88370771,151320355.38328063
34,3.5000000000000018,1070283671.1099486,22536969.512278873,151322130.38902688
35,3.600000000000002,1070520075.8969988,22537245.182433646,151323726.88886565
36,3.700000000000002,1070735647.2988125,22537492.024521314,151325166.92951778
37,3.800000000000002,1070932795.864096,22537713.583941318,151326469.39750177
38,3.900000000000002,1071113597.155625,22537912.91418087,151327650.5351998
39,4.000000000000002,1071279845.8982191,22538092.653171945,151328724.36158
40,4.100000000000001,1071433100.2253566,22538255.0863401,151329703.01739106
41,4.200000000000001,1071574718.022218,22538402.19895467,151330597.0500673
42,4.300000000000001,1071705886.9270355,22538535.71983023,151331415.65008488
43,4.4,1071827649.2180697,22538657.157970175,151332166.8480524
44,4.5,1071940922.5544652,22538767.83342367,151332857.67978
45,4.6,1072046517.3406607,22538868.90337329,151333494.32514927
46,4.699999999999999,1072145151.3266647,22538961.384266727,151334082.22536933
47,4.799999999999999,1072237461.9362005,22539046.170650836,151334626.1823859
48,4.899999999999999,1072324016.7181085,22539124.051257316,151335130.4434136
49,4.999999999999998,1072405322.2411329,22539195.72276489,151335598.77307972
50,5.099999999999998,1072481831.6922659,22539261.801620748,151336034.51517248
51,5.1999999999999975,1072553951.3903145,22539322.834204305,151336440.64562875
52,5.299999999999997,1072622046.3899286,22539379.305600703,151336819.81816694
53,5.399999999999997,1072686445.3177774,22539431.647171207,151337174.40363112
54,5.4999999999999964,1072747444.5600761,22539480.2431207,151337506.52405536
55,5.599999999999996,1072805311.9001057,22539525.4361901,151337818.08218208
56,5.699999999999996,1072860289.6854583,22539567.53260187,151338110.7871131
57,5.799999999999995,1072912597.5960118,22539606.80637283,151338386.17665622
58,5.899999999999995,1072962435.0674349,22539643.5030712,151338645.63681543
59,5.999999999999995,1073009983.4199528,22539677.84309648,151338890.41883606
60,6.099999999999994,1073055407.7324603,22539710.02455807,151339121.65413117
61,6.199999999999994,1073098858.496321,22539740.22578495,151339340.36738738
62,6.299999999999994,1073140473.0785102,22539768.607539605,151339547.4880742
63,6.399999999999993,1073180377.0185773,22539795.314954404,151339743.8606
64,6.499999999999993,1073218685.1808398,22539820.479243595,151339930.25324064
65,6.5999999999999925,1073255502.7804995,22539844.21920392,151340107.3660558
66,6.699999999999992,1073290926.2986524,22539866.642543904,151340275.83786944
67,6.799999999999992,1073325044.2998718,22539887.847055167,151340436.2524758
68,6.8999999999999915,1073357938.1644797,22539907.921651814,151340589.14413342
69,6.999999999999991,1073389682.7453831,22539926.947287366,151340735.00245827
70,7.099999999999991,1073420346.9576817,22539944.997768715,151340874.27675885
71,7.19999999999999,1073449994.3090342,22539962.140478764,151341007.37993702
72,7.29999999999999,1073478683.3785777,22539978.43702314,151341134.69192237
73,7.39999999999999,1073506468.2476217,22539993.94379549,151341256.56278676
74,7.499999999999989,1073533398.8899709,22540008.71249251,151341373.31549188
75,7.599999999999989,1073559521.5245085,22540022.790563937,151341485.24838123
76,7.699999999999989,1073584878.9346114,22540036.221623003,151341592.63740358
77,7.799999999999988,1073609510.7578555,22540049.045804646,151341695.73810154
78,7.899999999999988,1073633453.7494489,22540061.300093237,151341794.78741473
79,7.999999999999988,1073656742.0208038,22540073.018610045,151341890.00529832
80,8.099999999999987,1073679407.2575625,22540084.232880708,151341981.59617892
81,8.199999999999987,1073701478.917351,22540094.97205861,151342069.7502713
82,8.299999999999986,1073722984.4103212,22540105.263147477,151342154.64476684
83,8.399999999999986,1073743949.2644184,22540115.13118332,151342236.444915
84,8.499999999999986,1073764397.2750983,22540124.599406887,151342315.30498502
85,8.599999999999985,1073784350.6430507,22540133.68941808,151342391.3691726
86,8.699999999999985,1073803830.100071,22540142.42131603,151342464.77237657
87,8.799999999999985,1073822855.0236006,22540150.813822627,151342535.64094254
88,8.899999999999984,1073841443.5425453,22540158.884396244,151342604.09332648
89,8.999999999999984,1073859612.633216,22540166.64933974,151342670.2406826
90,9.099999999999984,1073877378.2082725,22540174.12388503,151342734.18744424
91,9.199999999999983,1073894755.19763,22540181.322285976,151342796.03179482
92,9.299999999999983,1073911757.6228745,22540188.25789055,151342855.8661513
93,9.399999999999983,1073928398.6658974,22540194.943214625,151342913.77756038
94,9.499999999999982,1073944690.7314591,22540201.39000022,151342969.84810922
95,9.599999999999982,1073960645.5051777,22540207.60928159,151343024.15525457
96,9.699999999999982,1073976274.0064683,22540213.611431286,151343076.77215827
97,9.799999999999981,1073991586.6377184,22540219.406211104,151343127.7679874
98,9.89999999999998,1074006593.2288125,22540225.00281779,151343177.20816767
99,9.99999999999998,1074021303.0789912,22540230.40992214,151343225.15465838
100,10.09999999999998,1074035724.9948027,22540235.63570554,151343271.66617057
101,10.19999999999998,1074049867.3252203,22540240.68789655,151343316.79838154
102,10.29999999999998,1074063737.994174,22540245.573799632,151343360.6041279
103,10.399999999999979,1074077344.5303025,22540250.300325327,151343403.1335879
104,10.499999999999979,1074090694.0947826,22540254.874015428,151343444.43446684
105,10.599999999999978,1074103793.506369,22540259.301068936,151343484.55212164
106,10.699999999999978,1074116649.2652204,22540263.58736493,151343523.52972347
107,10.799999999999978,1074129267.574261,22540267.73847964,151343561.40839207
108,10.899999999999977,1074141654.3596094,22540271.759711117,151343598.22730964
109,10.999999999999977,1074153815.2886586,22540275.65608942,151343634.02384317
110,11.099999999999977,1074165755.7874246,22540279.432403408,151343668.83365023
111,11.199999999999976,1074177481.0561786,22540283.09320439,151343702.6907673
112,11.299999999999976,1074188996.084214,22540286.64282803,151343735.62772077
113,11.399999999999975,1074200305.6631975,22540290.085406568,151343767.67559433
114,11.499999999999975,1074211414.3997142,22540293.42487609,151343798.86412114
115,11.599999999999975,1074222326.7269664,22540296.664992847,151343829.22175527
116,11.699999999999974,1074233046.9152672,22540299.809341896,151343858.77573815
117,11.799999999999974,1074243579.0819614,22540302.861345988,151343887.5521632
118,11.899999999999974,1074253927.2008874,22540305.82427606,151343915.57605404
119,11.999999999999973,1074264095.1104515,22540308.701258376,151343942.8713861
120,12.099999999999973,1074274086.5219476,22540311.49528374,151343969.46117657
121,12.199999999999973,1074283905.026367,22540314.209214564,151343995.36751318
122,12.299999999999972,1074293554.1017098,22540316.845788687,151344020.61160696
123,12.399999999999972,1074303037.1187828,22540319.40763235,151344045.21383676
124,12.499999999999972,1074312357.3475583,22540321.897259623,151344069.19379106
125,12.599999999999971,1074321517.9618576,22540324.31708221,151344092.57030308
