,t,j,fl,fd
0,0.1,13510983.45480633,142116.31340295667,24472991.47775282
1,0.2,42728103.295709535,232124.9265351324,40064109.42822833
2,0.30000000000000004,89102338.40789941,312629.42388155847,54206576.5304565
3,0.4,151198396.6466416,391886.3746391467,68169200.23054965
4,0.5,229971775.5524195,470954.1908254929,82111558.89834478
5,0.6,325780477.3647822,549956.0595879364,96055267.06637044
6,0.7,438797745.38298756,628924.1934823124,110003104.07775407
7,0.7999999999999999,569129256.2459021,707875.0869184805,123954916.53630617
8,0.8999999999999999,716847637.7025341,786818.5476447555,137910111.92393038
9,0.9999999999999999,882006086.6875424,865760.5758556025,151868112.04688084
10,1.0999999999999999,1010345882.7408606,877386.3872474754,154235957.26990262
11,1.2,1042425603.5227258,878268.8287664433,154711641.19269893
12,1.3,1055825666.813266,878001.9015280781,154878242.99672982
13,1.4000000000000001,1063678295.6701974,877724.1667081973,154967868.46749455
14,1.5000000000000002,1069086694.9916208,877533.3356769461,155027016.54884315
15,1.6000000000000003,1073113380.0827637,877422.242266291,155069861.86539155
16,1.7000000000000004,1076240782.6049643,877371.5875900058,155102498.27594736
17,1.8000000000000005,1078734651.887369,877363.1221807299,155128163.8268108
18,1.9000000000000006,1080761120.7287984,877382.3181086322,155148808.0035604
19,2.0000000000000004,1082432647.694592,877418.4198064536,155165700.62736827
20,2.1000000000000005,1083829209.727916,877463.7771177032,155179714.26007193
21,2.2000000000000006,1085009500.7466676,877513.1003774054,155191472.12044358
22,2.3000000000000007,1086017523.0931866,877562.8286961333,155201432.60732007
23,2.400000000000001,1086886785.8258283,877610.6424400363,155209940.823479
24,2.500000000000001,1087643128.2976923,877655.1018267499,155217261.57241607
25,2.600000000000001,1088306690.1892495,877695.383942931,155223601.32198372
26,2.700000000000001,1088893320.969029,877731.0930761993,155229123.28350052
27,2.800000000000001,1089415606.4951296,877762.124592379,155233958.03045487
28,2.9000000000000012,1089883626.908104,877788.5675877216,155238211.13705114
29,3.0000000000000013,1090305522.2305863,877810.6355505405,155241968.77400944
30,3.1000000000000014,1090687918.3511426,877828.6172561923,155245301.87346506
