,t,j,fl,fd
0,0.1,12852938.18854496,-3246500.6403234247,23897371.51695314
1,0.2,41013425.30448796,-5335414.913713368,39133077.15416517
2,0.30000000000000004,85851662.83310832,-7236208.297789264,52951060.12147293
3,0.4,145941329.0820271,-9110227.881603459,66590172.44224875
4,0.5,222206246.0238088,-10980761.626108788,80206999.007827
5,0.6,314991155.5371361,-12851260.161589136,93823396.8034662
6,0.7,424465234.9203104,-14722235.286285844,107442543.22950728
7,0.7999999999999999,550733491.5853665,-16593706.21765182,121064584.46910574
8,0.8999999999999999,693869151.8994306,-18465607.329500467,134689146.7292769
9,0.9999999999999999,853926412.7068182,-20337867.148946192,148315815.11978045
10,1.0999999999999999,979982094.6004659,-20672608.462758865,150624426.0883203
11,1.2,1011001068.5644311,-20746549.999507584,151079586.91332337
12,1.3,1023889404.8698632,-20772413.86049922,151231243.7553196
13,1.4000000000000001,1031458150.2593551,-20785721.038197234,151308271.01735595
14,1.5000000000000002,1036711880.4312096,-20794126.451948874,151356902.3037622
15,1.6000000000000003,1040665361.6908644,-20800016.78267807,151391071.84922945
16,1.7000000000000004,1043770536.6396708,-20804399.360562645,151416570.41480038
17,1.8000000000000005,1046272662.4249436,-20807789.91248,151436344.8102419
18,1.9000000000000006,1048324342.4917551,-20810486.45070651,151452096.33525032
19,2.0000000000000004,1050029392.2084453,-20812675.84980968,151464894.29872382
20,2.1000000000000005,1051462474.6851816,-20814482.432200924,151475453.11850277
21,2.2000000000000006,1052679166.357824,-20815992.69263438,151484272.46178114
22,2.3000000000000007,1053721757.4786851,-20817268.947246872,151491714.34301156
23,2.400000000000001,1054622917.309009,-20818357.36264607,151498048.43270922
24,2.500000000000001,1055408168.461747,-20819292.927543897,151503480.14401314
25,2.600000000000001,1056097633.6750262,-20820102.66398384,151508168.82480323
26,2.700000000000001,1056707305.8839334,-20820807.775882605,151512239.97929624
27,2.800000000000001,1057249990.0553198,-20821425.129862297,151515793.73380634
28,2.9000000000000012,1057736011.2311145,-20821968.30194198,151518910.8543418
29,3.0000000000000013,1058173752.1988404,-20822448.333526347,151521657.11894152
30,3.1000000000000014,1058570065.0332668,-20822874.28771237,151524086.55478427
31,3.2000000000000015,1058930588.200935,-20823253.665367946,151526243.87395987
32,3.3000000000000016,1059259992.3456188,-20823592.720810007,151528166.33221975
33,3.4000000000000017,1059562171.8373536,-20823896.704351198,151529885.16498435
34,3.5000000000000018,1059840394.8326699,-20824170.050785396,151531426.70890135
35,3.600000000000002,1060097421.4275007,-20824416.527357254,151532813.28632966
36,3.700000000000002,1060335597.1502055,-20824639.350998707,151534063.90895337
37,3.800000000000002,1060556927.3081689,-20824841.282018617,151535194.8419413
38,3.900000000000002,1060763136.4004561,-20825024.699538466,151536220.0595164
39,4.000000000000002,1060955715.8303878,-20825191.66268287,151537151.6152824
40,4.100000000000001,1061135962.4119784,-20825343.960542243,151537999.94506222
41,4.200000000000001,1061305009.601168,-20825483.153221346,151538774.11594945
42,4.300000000000001,1061463852.9530206,-20825610.605761282,151539482.03218907
43,4.4,1061613370.9762269,-20825727.51632663,151540130.6062075
44,4.5,1061754342.3024464,-20825834.93974832,151540725.90133902
45,4.6,1061887459.894319,-20825933.807277795,151541273.2514413
46,4.699999999999999,1062013342.8601722,-20826024.943245042,151541777.36156857
47,4.799999999999999,1062132546.3297535,-20826109.079163734,151542242.39300728
48,4.899999999999999,1062245569.7486141,-20826186.865715772,151542672.0353808
49,4.999999999999998,1062352863.8804408,-20826258.88298745,151543069.56799692
50,5.099999999999998,1062454836.7457111,-20826325.649233878,151543437.91222554
51,5.1999999999999975,1062551858.6846293,-20826387.62840934,151543779.67633715
52,5.299999999999997,1062644266.6911823,-20826445.236664373,151544097.19404268
53,5.399999999999997,1062732368.1426114,-20826498.847962745,151544392.5576717
54,5.4999999999999964,1062816444.021598,-20826548.798957046,151544667.64685372
55,5.599999999999996,1062896751.7125429,-20826595.393225588,151544924.15334612
56,5.699999999999996,1062973527.4383367,-20826638.904973373,151545163.60261875
57,5.799999999999995,1063046988.3921651,-20826679.582262333,151545387.3726192
58,5.899999999999995,1063117334.6101773,-20826717.64984771,151545596.71017477
59,5.999999999999995,1063184750.6216652,-20826753.311664768,151545792.74532226
60,6.099999999999994,1063249406.9084082,-20826786.753023863,151545976.50388646
61,6.199999999999994,1063311461.2004952,-20826818.142540038,151546148.91851735
62,6.299999999999994,1063371059.6288431,-20826847.63384533,151546310.83842173
63,6.399999999999993,1063428337.7541186,-20826875.36710009,151546463.03793725
64,6.499999999999993,1063483421.4880229,-20826901.470335536,151546606.22412005
65,6.5999999999999925,1063536427.9199586,-20826926.06064797,151546741.04346806
66,6.699999999999992,1063587466.0600412,-20826949.245261054,151546868.0878701
67,6.799999999999992,1063636637.5098296,-20826971.122472394,151546987.89991716
68,6.8999999999999915,1063684037.0671453,-20826991.782498267,151547100.9776148
69,6.999999999999991,1063729753.2746817,-20827011.308231805,151547207.77859062
70,7.099999999999991,1063773868.9163666,-20827029.7759191,151547308.72386068
71,7.19999999999999,1063816461.4686916,-20827047.25576752,151547404.20119265
72,7.29999999999999,1063857603.5116006,-20827063.812491346,151547494.5681213
73,7.39999999999999,1063897363.1021153,-20827079.505800266,151547580.15465835
74,7.499999999999989,1063935804.1155325,-20827094.39084359,151547661.26572004
75,7.599999999999989,1063972986.5572758,-20827108.518608462,151547738.18333033
76,7.699999999999989,1064008966.8478965,-20827121.936276644,151547811.16858318
77,7.799999999999988,1064043798.0841097,-20827134.68755128,151547880.4634364
78,7.899999999999988,1064077530.2776926,-20827146.81295097,151547946.29231694
79,7.999999999999988,1064110210.5754558,-20827158.350074083,151548008.8635806
80,8.099999999999987,1064141883.4607601,-20827169.333842143,151548068.3708374
81,8.199999999999987,1064172590.938486,-20827179.79671592,151548124.99414733
82,8.299999999999986,1064202372.7060527,-20827189.768897012,151548178.9011096
83,8.399999999999986,1064231266.3101889,-20827199.278506536,151548230.24785554
84,8.499999999999986,1064259307.2917286,-20827208.35175218,151548279.17995128
85,8.599999999999985,1064286529.3191972,-20827217.013075754,151548325.83321506
86,8.699999999999985,1064312964.3118812,-20827225.285291295,151548370.33447057
87,8.799999999999985,1064338642.5537664,-20827233.189709872,151548412.80223197
88,8.899999999999984,1064363592.7989075,-20827240.746255126,151548453.3473281
89,8.999999999999984,1064387842.3686576,-20827247.973563418,151548492.07347953
90,9.099999999999984,1064411417.2416836,-20827254.889084943,151548529.07781658
91,9.199999999999983,1064434342.1377062,-20827261.509167675,151548564.45136684
92,9.299999999999983,1064456640.5946075,-20827267.84913894,151548598.27949363
93,9.399999999999983,1064478335.0406053,-20827273.92337863,151548630.64230433
94,9.499999999999982,1064499446.8604739,-20827279.745387793,151548661.61501795
95,9.599999999999982,1064519996.4577667,-20827285.32785043,151548691.2683127
96,9.699999999999982,1064540003.3122611,-20827290.682689656,151548719.66864443
97,9.799999999999981,1064559486.0332713,-20827295.821123336,151548746.878528
98,9.89999999999998,1064578462.4097979,-20827300.753709592,151548772.95681855
99,9.99999999999998,1064596949.4566263,-20827305.49039373,151548797.95894587
100,10.09999999999998,1064614963.457653,-20827310.040548287,151548821.93715572
101,10.19999999999998,1064632520.0061219,-20827314.41301227,151548844.94071567
102,10.29999999999998,1064649634.042344,-20827318.616127208,151548867.0161082
103,10.399999999999979,1064666319.8887643,-20827322.657766446,151548888.20721868
104,10.499999999999979,1064682591.2826242,-20827326.545370165,151548908.55549687
105,10.599999999999978,1064698461.4068415,-20827330.285968374,151548928.1001189
106,10.699999999999978,1064713942.9185516,-20827333.886213403,151548946.87812588
107,10.799999999999978,1064729047.9761353,-20827337.352395527,151548964.9245604
108,10.899999999999977,1064743788.2641785,-20827340.690473355,151548982.27259296
