,t,j,fl,fd
0,0.1,19814936.502965376,17392955.46982121,19418243.740046345
1,0.2,92499856.82557762,33369878.928276833,37015650.904983744
2,0.30000000000000004,250875443.27506027,49136420.1112866,54245316.80527625
3,0.4,494176445.1595219,64911220.77505161,71461998.54246956
4,0.5,824554903.2417034,80709246.05743547,88690954.08597736
5,0.6,1243146353.766428,96524535.35690647,105929981.28515203
6,0.7,1750702143.9289606,112351879.3563414,123176133.23369953
7,0.7999999999999999,2347770484.216991,128187885.738077,140427425.41801476
8,0.8999999999999999,3034760606.2517323,144030345.3146606,157682556.86637
9,0.9999999999999999,3811979487.22496,159877762.69446573,174940644.40223348
10,1.0999999999999999,4545580171.979773,162795878.7013638,177761876.87290904
11,1.2,4683138264.733105,163453840.8327511,178236552.17879972
12,1.3,4737250399.073296,163690481.53751424,178384061.3302326
13,1.4000000000000001,4770301023.653015,163814413.13274336,178458217.6675213
14,1.5000000000000002,4793875872.196095,163893404.26258957,178505179.33368948
15,1.6000000000000003,4811721334.308931,163949076.43833053,178538307.69519803
16,1.7000000000000004,4825625104.116436,163990695.21069276,178563129.49645343
17,1.8000000000000005,4836645347.556797,164023034.02147648,178582463.13320357
18,1.9000000000000006,4845486772.337561,164048856.06988493,178597936.95523852
19,2.0000000000000004,4852650407.263604,164069895.3209752,178610573.58903205
20,2.1000000000000005,4858505805.389869,164087306.7826668,178621055.30271044
21,2.2000000000000006,4863331457.805862,164101895.87291187,178629858.64650735
22,2.3000000000000007,4867340087.3652115,164114244.81201935,178637328.5859972
23,2.400000000000001,4870695726.866902,164124786.77089033,178643722.03256062
24,2.500000000000001,4873525812.547557,164133851.66223752,178649234.77776566
25,2.600000000000001,4875929997.671705,164141695.65586466,178654018.89599174
26,2.700000000000001,4877986688.712568,164148520.9011025,178658194.40206745
27,2.800000000000001,4879757946.352536,164154489.1152474,178661857.30153865
28,2.9000000000000012,4881293188.257424,164159731.19426164,178665085.2950913
29,3.0000000000000013,4882632002.657486,164164354.16578662,178667941.91103587
30,3.1000000000000014,4883806296.626937,164168446.31910497,178670479.556748
31,3.2000000000000015,4884841943.655112,164172081.05578998,178672741.8097255
32,3.3000000000000016,4885760052.676521,164175319.8241521,178674765.1631673
33,3.4000000000000017,4886577949.762099,164178214.38557258,178676580.37333313
34,3.5000000000000018,4887309940.923285,164180808.5858165,178678213.51169744
35,3.600000000000002,4887967907.544069,164183139.75429466,178679686.79520032
36,3.700000000000002,4888561773.384904,164185239.8199115,178681019.24757037
37,3.800000000000002,4889099872.648347,164187136.20863232,178682227.23066214
38,3.900000000000002,4889589241.54378,164188852.5711167,178683324.8746638
39,4.000000000000002,4890035850.443257,164190409.37670875,178684324.42893627
40,4.100000000000001,4890444789.708229,164191824.40149006,178685236.550012
41,4.200000000000001,4890820419.23522,164193113.13167116,178686070.5394324
42,4.300000000000001,4891166489.442911,164194289.09876916,178686834.5412676
